num_sectors,a_s,drone_spacing,num_repetitions,num_drones,snr,rmse,std_dev
6,0.4,10,10000,9,-1,4.026817655046329,2.417105482545971
6,0.4,10,10000,9,0,3.2921754628517546,1.9822920755600313
6,0.4,10,10000,9,1,2.634456617713719,1.5735375571302828
6,0.4,10,10000,9,2,2.1159604587549286,1.2748990496797745
6,0.4,10,10000,9,3,1.702930774238842,1.0159513577708847
6,0.4,10,10000,9,4,1.4408745850085585,0.8700315275778662
6,0.4,10,10000,9,5,1.2333248467554505,0.7398104980288058
6,0.4,10,10000,9,6,1.086837451633728,0.6567303155424236
6,0.4,10,10000,9,7,0.9657985934208584,0.5829473745692662
6,0.4,10,10000,9,8,0.892199223279306,0.5395799309744643
6,0.4,10,10000,9,9,0.8452842622059837,0.5172177130725765
6,0.4,10,10000,9,10,0.8005529155050862,0.4886064171132589
6,0.4,10,10000,9,11,0.751723942773488,0.4605937254463085
6,0.4,10,10000,9,12,0.7317920983297894,0.447604274833812
6,0.4,10,10000,9,13,0.7253756107605411,0.4490594198993871
6,0.4,10,10000,9,14,0.702792789465425,0.43229273131090185
6,0.4,10,10000,9,15,0.6828943643224883,0.42248116861295737
6,0.4,10,10000,9,16,0.6857242575362729,0.42818619942387304
6,0.4,10,10000,9,17,0.6770394066722331,0.419837390572029
6,0.4,10,10000,9,18,0.6682733045356192,0.41278802538256776
6,0.4,10,10000,9,19,0.6719323412561596,0.41983247040237737
6,0.4,10,10000,15,-1,3.4413876110860504,2.0159194575796935
6,0.4,10,10000,15,0,2.7762654095743113,1.6306668803401265
6,0.4,10,10000,15,1,2.23155338727699,1.3022826729667811
6,0.4,10,10000,15,2,1.761895082339381,1.042601674289827
6,0.4,10,10000,15,3,1.4352870098808117,0.8566731565202489
6,0.4,10,10000,15,4,1.1766223762027248,0.7035723375539878
6,0.4,10,10000,15,5,0.9904830650941898,0.5964152512413309
6,0.4,10,10000,15,6,0.8621364554931877,0.5194552606151549
6,0.4,10,10000,15,7,0.757727648822595,0.45308275449498997
6,0.4,10,10000,15,8,0.6978584344114442,0.42248811291056865
6,0.4,10,10000,15,9,0.6601754590432004,0.40028438860269866
6,0.4,10,10000,15,10,0.6287994241790893,0.38298131399943497
6,0.4,10,10000,15,11,0.6025056950118702,0.37244442439676634
6,0.4,10,10000,15,12,0.5819431447222018,0.3528554032813439
6,0.4,10,10000,15,13,0.5780647906103921,0.35651267641926554
6,0.4,10,10000,15,14,0.5703889993037685,0.3533831191789067
6,0.4,10,10000,15,15,0.5557806420296555,0.3444983983260746
6,0.4,10,10000,15,16,0.5502266849946543,0.34162267305629346
6,0.4,10,10000,15,17,0.5433571271119623,0.33630577073661927
6,0.4,10,10000,15,18,0.5392154226566973,0.3376658503067915
6,0.4,10,10000,15,19,0.5371574119994384,0.33475246438833706
