num_sectors,snr,num_repetitions,a_s,rmse,std_dev
6,-1,100000,0.4,10.402541975223325,6.895472943463999
6,0,100000,0.4,8.411919522284254,5.4729360406723595
6,1,100000,0.4,6.812231288760489,4.321207608976941
6,2,100000,0.4,5.654389823273021,3.534051354865214
6,3,100000,0.4,4.765537141914014,2.915682552238139
6,4,100000,0.4,4.08279657648541,2.478304891544458
6,5,100000,0.4,3.58907201819186,2.179786077893688
6,6,100000,0.4,3.2016298294789007,1.9410433386567385
6,7,100000,0.4,2.884590022108767,1.7521214408699433
6,8,100000,0.4,2.6627814165915167,1.6236796153527024
6,9,100000,0.4,2.4784948978680164,1.5066385907563526
6,10,100000,0.4,2.342638527511984,1.4322920030016117
6,11,100000,0.4,2.2374620070085456,1.3751069346497136
6,12,100000,0.4,2.157356459829708,1.326376565149582
6,13,100000,0.4,2.072595130265094,1.2771125107015808
6,14,100000,0.4,2.0292380565268386,1.258599627206346
6,15,100000,0.4,1.9986027535868787,1.2392429384547177
6,16,100000,0.4,1.9604877724881236,1.216137331122678
6,17,100000,0.4,1.93348383989892,1.2037990432204209
6,18,100000,0.4,1.9172339246098906,1.194846179419668
6,19,100000,0.4,1.9041033974203934,1.1870502236503624
8,-1,100000,0.4,7.900170966386477,5.286647883167422
8,0,100000,0.4,6.29318354888834,4.084781348075017
8,1,100000,0.4,5.11867653380816,3.2470432814422425
8,2,100000,0.4,4.263730450102556,2.6539222422337754
8,3,100000,0.4,3.5544330012600205,2.17299772856172
8,4,100000,0.4,3.0473854099619766,1.8470556878008038
8,5,100000,0.4,2.694874388039439,1.6367951921277637
8,6,100000,0.4,2.3985600567343894,1.4523441892042206
8,7,100000,0.4,2.157427835927971,1.307042514851606
8,8,100000,0.4,1.9842476031724972,1.2055804431872776
8,9,100000,0.4,1.8557548768771865,1.1322443694778936
8,10,100000,0.4,1.7411730811249024,1.0641828641007118
8,11,100000,0.4,1.6532839997021918,1.012656407718927
8,12,100000,0.4,1.5908194251999048,0.9758690719191035
8,13,100000,0.4,1.5434584710129866,0.9520076517984356
8,14,100000,0.4,1.4980077656548692,0.9262037505286354
8,15,100000,0.4,1.4680030560327912,0.9083236619102549
8,16,100000,0.4,1.4434829487611358,0.8964422460173495
8,17,100000,0.4,1.426599299327389,0.8867331172072491
8,18,100000,0.4,1.4177217253651346,0.882326365870248
8,19,100000,0.4,1.4011076942826972,0.8735931827344333
10,-1,100000,0.4,6.283659776863405,4.208166656373443
10,0,100000,0.4,5.029413234714924,3.251944693229966
10,1,100000,0.4,4.102787744589805,2.6001182390435593
10,2,100000,0.4,3.3968323253511303,2.110326354175059
10,3,100000,0.4,2.8628566855834885,1.7514910830292114
10,4,100000,0.4,2.4425573578403292,1.4847384978742948
10,5,100000,0.4,2.144786539537402,1.2978325858802287
10,6,100000,0.4,1.9093539026118276,1.15829218249436
10,7,100000,0.4,1.7310664866719538,1.0474851927312623
10,8,100000,0.4,1.5821429031846999,0.9623449753158358
10,9,100000,0.4,1.4737111191049042,0.8971373206350227
10,10,100000,0.4,1.389644383612763,0.846576859827639
10,11,100000,0.4,1.3156496916040141,0.805752243245435
10,12,100000,0.4,1.2758835452891073,0.7825889526277605
10,13,100000,0.4,1.233514406027831,0.7620009883967526
10,14,100000,0.4,1.2025709158060183,0.7434255580300344
10,15,100000,0.4,1.1804353859244234,0.7308093978971653
10,16,100000,0.4,1.1512478126627455,0.7153935217452008
10,17,100000,0.4,1.1391422257939636,0.7057376042410001
10,18,100000,0.4,1.1276310429020933,0.6994705901286662
10,19,100000,0.4,1.1199851546049215,0.6982183207991863
12,-1,100000,0.4,5.492147206791026,3.839195052611521
12,0,100000,0.4,4.189967228533149,2.7219206877189532
12,1,100000,0.4,3.424869501114187,2.177238918743035
12,2,100000,0.4,2.8216519090850127,1.7510125203568065
12,3,100000,0.4,2.362488609473198,1.4424944202260888
12,4,100000,0.4,2.0352187337572967,1.2407286212037152
12,5,100000,0.4,1.787117900705584,1.0828709902343114
12,6,100000,0.4,1.5951303818858034,0.9658795561460094
12,7,100000,0.4,1.438657545808161,0.8731895495615521
12,8,100000,0.4,1.319887048815565,0.8027219393309285
12,9,100000,0.4,1.227778771563646,0.7471594805079107
12,10,100000,0.4,1.1551920648672391,0.7048812819912729
12,11,100000,0.4,1.1005722888201492,0.6753835785437367
12,12,100000,0.4,1.054441041270188,0.6476857769934412
12,13,100000,0.4,1.0200241770826899,0.6285454542303052
12,14,100000,0.4,0.9985891493200819,0.6179137880308213
12,15,100000,0.4,0.975634693071276,0.6040753531798299
12,16,100000,0.4,0.9657492443540796,0.5998470394658788
12,17,100000,0.4,0.9447608766883117,0.5864310111590776
12,18,100000,0.4,0.9346219792639378,0.5820513790002748
12,19,100000,0.4,0.9285257987123621,0.5772041715657639
